time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-22T11:59:40.490Z,33.4715,-116.5325,13.09,3.03,ml,125,19,0.06334,0.19,ci,ci39974207,2022-05-28T18:35:24.040Z,"16km SE of Anza, CA",earthquake,0.1,0.22,0.145,215,reviewed,ci,ci
2022-01-30T17:46:26.970Z,33.3355,-116.9146667,13.31,4,mw,146,15,0.04714,0.22,ci,ci39928087,2023-02-28T00:45:25.412Z,"5km WSW of Palomar Observatory, CA",earthquake,0.11,0.31,,6,reviewed,ci,ci
2022-01-23T20:57:15.240Z,33.4338333,-116.3975,6.66,3.21,ml,127,27,0.09239,0.2,ci,ci39921383,2022-04-09T20:18:55.040Z,"20km N of Borrego Springs, CA",earthquake,0.11,0.39,0.132,253,reviewed,ci,ci
2022-01-20T04:26:10.480Z,33.7298333,-116.8985,3.9,2.97,ml,123,13,0.08856,0.19,ci,ci39917799,2022-04-01T17:40:20.040Z,"2km SSW of Valle Vista, CA",earthquake,0.1,0.35,0.128,185,reviewed,ci,ci
2022-01-13T08:23:09.790Z,33.3718333,-116.3925,5.06,2.75,ml,104,17,0.04974,0.19,ci,ci39910983,2022-03-19T22:07:57.040Z,"13km N of Borrego Springs, CA",earthquake,0.12,0.52,0.141,26,reviewed,ci,ci
2022-01-13T03:24:53.520Z,33.4738333,-116.4405,13.13,2.86,ml,110,25,0.05096,0.21,ci,ci39910327,2022-03-19T22:07:56.040Z,"23km ESE of Anza, CA",earthquake,0.13,0.32,0.14,25,reviewed,ci,ci
2022-01-13T03:19:08.700Z,33.4688333,-116.443,13.97,3.86,mw,124,20,0.05631,0.21,ci,ci39910255,2022-04-11T08:03:05.625Z,"23km ESE of Anza, CA",earthquake,0.11,0.23,,6,reviewed,ci,ci
2022-01-12T02:12:08.390Z,33.3611667,-116.3635,2.96,2.65,ml,114,14,0.03448,0.2,ci,ci39909511,2022-03-19T22:07:50.040Z,"12km N of Borrego Springs, CA",earthquake,0.11,0.24,0.17,30,reviewed,ci,ci
2022-01-08T23:46:18.060Z,33.373,-116.8868333,4.58,3.21,ml,117,15,0.02799,0.23,ci,ci39906383,2022-03-19T22:07:29.040Z,"3km NW of Palomar Observatory, CA",earthquake,0.12,0.4,0.162,171,reviewed,ci,ci
2021-12-31T10:48:10.410Z,33.3743333,-116.8791667,4.65,2.62,ml,99,18,0.02486,0.21,ci,ci39899719,2022-03-05T23:10:59.040Z,"2km NW of Palomar Observatory, CA",earthquake,0.14,0.43,0.139,26,reviewed,ci,ci
